Cell_Reference,Sheet,Category,Input_Output,Formula,Description,Example_Value,Conditional_Formatting,Notes
B2,Dashboard,Income,Input,,Daily Rate (Gross GBP),145,None,User editable - Blue cell
B3,Dashboard,Income,Input,,Days Worked per Month,22,None,User editable - Blue cell
B4,Dashboard,Income,Input,,Tax/NI Deduction %,0.2,None,User editable - Blue cell (20% default)
B5,Dashboard,Income,Input,,Additional Monthly Income,0,None,User editable - Blue cell
B6,Dashboard,Income,Output,"=B2*B3*(1-B4)+B5",Monthly Net Income,2552,Green,Auto-calculated
B7,Dashboard,Income,Output,"=Outgoings_Detail!B9",Monthly Essential Outgoings,1887,Red,Links to Outgoings sheet
B8,Dashboard,Income,Output,"=B6-B7",Monthly Surplus,668,Green if >0 Red if <0,Available for savings/investments
B9,Dashboard,Emergency_Fund,Input,,Emergency Fund Target,1000,None,User editable - Blue cell
B10,Dashboard,Emergency_Fund,Output,"=B9/B8",Months to Reach Target,1.5,Yellow if >6 Green if <3,Auto-calculated timeline
B11,Dashboard,Emergency_Fund,Input,,Current Emergency Fund Balance,0,None,User editable - Blue cell
B12,Dashboard,Emergency_Fund,Output,"=B9-B11",Emergency Fund Remaining,1000,Red if >0 Green if 0,Amount still needed
B13,Dashboard,Debt,Input,,Debt Balance,1200,None,User editable - Blue cell
B14,Dashboard,Debt,Input,,Debt Interest Rate %,0.015,None,User editable - Blue cell (1.5% monthly)
B15,Dashboard,Debt,Input,,Debt Minimum Payment,160,None,User editable - Blue cell
B16,Dashboard,Debt,Input,,Debt Overpayment Amount,200,None,User editable - Blue cell
B17,Dashboard,Debt,Output,"=B13/(B15+B16)",Months to Debt Freedom,3.3,Yellow if >12 Green if <6,Auto-calculated payoff timeline
B18,Dashboard,Debt,Output,"=B13*0.015",Monthly Debt Interest,18,Red,Estimated interest cost
B19,Dashboard,Debt,Output,"=B15+B16",Total Monthly Debt Payment,360,None,Total going to debt
B20,Dashboard,Investments,Input,,Emergency Fund Monthly Deposit,200,None,User editable - Blue cell
B21,Dashboard,Investments,Input,,Tax Sinking Fund Monthly,20,None,User editable - Blue cell
B22,Dashboard,Investments,Output,"=B8-B20-B21-B16",Available for Investments,268,Green,After all obligations
B23,Dashboard,Investments,Input,,Pionex DCA Allocation %,0.35,None,User editable - Blue cell
B24,Dashboard,Investments,Input,,Trading 212 ISA Allocation %,0.25,None,User editable - Blue cell
B25,Dashboard,Investments,Input,,Goldwise Allocation %,0.10,None,User editable - Blue cell
B26,Dashboard,Investments,Input,,LISA Allocation %,0.20,None,User editable - Blue cell
B27,Dashboard,Investments,Input,,Crypto Staking Allocation %,0.10,None,User editable - Blue cell
B28,Dashboard,Investments,Output,"=SUM(B23:B27)",Total Allocation Check,1,Red if !=1 Green if =1,Must equal 100%
B29,Dashboard,Investments,Output,"=B22*B23",Pionex DCA Monthly Amount,94,None,Calculated allocation
B30,Dashboard,Investments,Output,"=B22*B24",Trading 212 ISA Monthly,67,None,Calculated allocation
B31,Dashboard,Investments,Output,"=B22*B25",Goldwise Monthly,27,None,Calculated allocation
B32,Dashboard,Investments,Output,"=B22*B26",LISA Monthly,54,None,Calculated allocation
B33,Dashboard,Investments,Output,"=B22*B27",Crypto Staking Monthly,27,None,Calculated allocation
B34,Dashboard,Investments,Output,"=SUM(B29:B33)",Total Monthly Investment,268,Green,Verification sum
B35,Dashboard,Tax,Input,,CGT Allowance Remaining,3000,None,Annual allowance tracking
B36,Dashboard,Tax,Input,,Trading Allowance Remaining,1000,None,Annual allowance tracking
B37,Dashboard,Tax,Input,,Dividend Allowance Remaining,500,None,Annual allowance tracking
B38,Dashboard,Tax,Output,"=B35*0.18",Estimated CGT if Exceeded,540,Red,At basic rate
B39,Dashboard,Tax,Input,,ISA Allowance Used This Year,0,None,Track against 20000 limit
B40,Dashboard,Tax,Output,"=20000-B39",ISA Allowance Remaining,20000,Green,Available ISA room
B41,Dashboard,Portfolio,Input,,Pionex BTC Units,0.0123,None,User updates monthly
B42,Dashboard,Portfolio,Input,,BTC Price GBP,=CS.PRICE("BTC"|"GBP"),75000,Auto-lookup or manual
B43,Dashboard,Portfolio,Output,"=B41*B42",Pionex BTC Value,923,None,Calculated position
B44,Dashboard,Portfolio,Input,,VWRP Units,0.5,None,User updates monthly
B45,Dashboard,Portfolio,Input,,VWRP Price GBP,=GOOGLEFINANCE("VWRP.L"),115,Auto-lookup or manual
B46,Dashboard,Portfolio,Output,"=B44*B45",VWRP Value,58,None,Calculated position
B47,Dashboard,Portfolio,Input,,Gold Grams,0.2,None,User updates monthly
B48,Dashboard,Portfolio,Input,,Gold Price per Gram GBP,50,None,Current market price
B49,Dashboard,Portfolio,Output,"=B47*B48",Gold Value,10,None,Calculated position
B50,Dashboard,Portfolio,Input,,Staked ETH Units,0.01,None,User updates monthly
B51,Dashboard,Portfolio,Input,,ETH Price GBP,=CS.PRICE("ETH"|"GBP"),2500,Auto-lookup or manual
B52,Dashboard,Portfolio,Output,"=B50*B51",Staked ETH Value,25,None,Calculated position
B53,Dashboard,Portfolio,Input,,LISA Balance,120,None,User updates monthly
B54,Dashboard,Portfolio,Output,"=SUM(B43:B46|B49|B52:B53)",Total Portfolio Value,1116,Green,Net worth calculation
B55,Dashboard,Portfolio,Output,"=B43/B54",BTC Allocation %,0.83,Yellow if >20,Check diversification
B56,Dashboard,Portfolio,Output,"=B46/B54",ETF Allocation %,0.05,Yellow if >50,Check diversification
B57,Dashboard,Portfolio,Output,"=B49/B54",Gold Allocation %,0.01,Yellow if >10,Check diversification
B58,Dashboard,Portfolio,Output,"=B52/B54",ETH Allocation %,0.02,Yellow if >10,Check diversification
B59,Dashboard,Portfolio,Output,"=B53/B54",LISA Allocation %,0.11,Yellow if >25,Check diversification
B60,Dashboard,Goals,Input,,Year 1 Target Portfolio,400,None,Goal setting
B61,Dashboard,Goals,Input,,Year 2 Target Portfolio,1000,None,Goal setting
B62,Dashboard,Goals,Output,"=B54/B60",Year 1 Progress %,279,Green if >100,Goal tracking
B63,Dashboard,Goals,Output,"=B54/B61",Year 2 Progress %,112,Green if >100,Goal tracking
